,ACTION,ADVENTURE,ANIMATION,CHILDREN,COMEDY,CRIME,DOCUMENTRY,DRAMA,FANTASY,FILM NOIR,HORROR,MUSICAL,MYSTERY,ROMANCE,SCIFI,THIRILLER,WAR,WESTERN,genre
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION|CHILDREN|COMEDY
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|ADVENTURE|THIRILLER
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,THIRILLER
3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ACTION|COMEDY|DRAMA
4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,CRIME|DRAMA|THIRILLER
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,DRAMA|SCIFI
7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY|DRAMA
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CRIME|THIRILLER
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CRIME|THIRILLER
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
16,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,ACTION|COMEDY|CRIME|HORROR|THIRILLER
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
20,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,ACTION|ADVENTURE|COMEDY|MUSICAL|THIRILLER
21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,ACTION|DRAMA|WAR
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
23,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE|CRIME
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION
27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,ACTION|DRAMA|THIRILLER
28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE|COMEDY|CRIME
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,DRAMA|THIRILLER|WAR
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DOCUMENTRY
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,ACTION|ROMANCE|THIRILLER
33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
34,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ADVENTURE|CHILDREN|DRAMA
35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,SCIFI|THIRILLER
38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|CRIME|SCIFI
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
44,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DOCUMENTRY
48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
49,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,ACTION|ADVENTURE|ROMANCE|SCIFI|WAR
50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DRAMA|ROMANCE|WAR|WESTERN
51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
53,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,ACTION|DRAMA|THIRILLER
54,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,CRIME|DRAMA|ROMANCE|THIRILLER
55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CRIME|DRAMA
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
67,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,ACTION|ROMANCE|THIRILLER
68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,COMEDY|ROMANCE|WAR
69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
70,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ANIMATION|CHILDREN|MUSICAL
71,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,COMEDY|CRIME|FANTASY
72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTION|COMEDY|WESTERN
73,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ACTION|COMEDY|DRAMA
